Sequence	Log-Viterbi Score	HMM	Sequence Type						
XM_003799497.3	-282.045	Primate	Primate						
XM_030795717.1	-99.265	Primate	Primate						
XM_030942663.1	-104.445	Primate	Primate						
XM_025367945.1	-100.027	Primate	Primate						
XM_028839202.1	-98.55	Primate	Primate						
XM_011735912.2	-96.59	Primate	Primate						
									
									
									
